"day_dx","date","type","MR","value","lb","ub"
27,2020-03-21,"Estimated","Mortality Risk Day 30",0.13437995892192,0.118664208846484,0.149815469838895
28,2020-03-22,"Estimated","Mortality Risk Day 30",0.137704781001917,0.122476440837741,0.152668852085527
29,2020-03-23,"Estimated","Mortality Risk Day 30",0.141068848331027,0.126310815172778,0.155577594275376
30,2020-03-24,"Estimated","Mortality Risk Day 30",0.144464687060425,0.13015730783018,0.1585367351184
31,2020-03-25,"Estimated","Mortality Risk Day 30",0.147884216160661,0.134006407351281,0.16153962889346
32,2020-03-26,"Estimated","Mortality Risk Day 30",0.151318744525239,0.137849526767508,0.164577535179305
33,2020-03-27,"Estimated","Mortality Risk Day 30",0.154758972734448,0.141679265426184,0.167639362076388
34,2020-03-28,"Estimated","Mortality Risk Day 30",0.158194999800209,0.145489413868219,0.170711668337265
35,2020-03-29,"Estimated","Mortality Risk Day 30",0.161616318959537,0.149274410291274,0.173779177283695
36,2020-03-30,"Estimated","Mortality Risk Day 30",0.165011559036285,0.153025372812898,0.176828119564203
37,2020-03-31,"Estimated","Mortality Risk Day 30",0.168368524206739,0.15672889116328,0.179847495920803
38,2020-04-01,"Estimated","Mortality Risk Day 30",0.171674451650957,0.160369548481994,0.182827144004521
39,2020-04-02,"Estimated","Mortality Risk Day 30",0.174916057039349,0.163930760635636,0.185757015233503
40,2020-04-03,"Estimated","Mortality Risk Day 30",0.178079579122071,0.167395646530142,0.188626416087304
41,2020-04-04,"Estimated","Mortality Risk Day 30",0.181150831160698,0.170747938258628,0.1914232207023
42,2020-04-05,"Estimated","Mortality Risk Day 30",0.184115259162691,0.173972828086666,0.194133155705676
43,2020-04-06,"Estimated","Mortality Risk Day 30",0.186958006819097,0.177057618795862,0.196739288468364
44,2020-04-07,"Estimated","Mortality Risk Day 30",0.189663986988125,0.179992032825893,0.199221860920578
45,2020-04-08,"Estimated","Mortality Risk Day 30",0.192217959512783,0.182768050086116,0.201558596672034
46,2020-04-09,"Estimated","Mortality Risk Day 30",0.194604615495229,0.185379173665365,0.203725580770843
47,2020-04-10,"Estimated","Mortality Risk Day 30",0.19680962142537,0.187817998535359,0.205701698546021
48,2020-04-11,"Estimated","Mortality Risk Day 30",0.198821829055742,0.190071911398385,0.207477218494991
49,2020-04-12,"Estimated","Mortality Risk Day 30",0.200631027674839,0.192125211827198,0.209047288922816
50,2020-04-13,"Estimated","Mortality Risk Day 30",0.202227424387901,0.193961070023921,0.210409002927873
51,2020-04-14,"Estimated","Mortality Risk Day 30",0.203601703626118,0.195563043381594,0.211560034320893
52,2020-04-15,"Estimated","Mortality Risk Day 30",0.204745086549891,0.19691657177558,0.212497288401513
53,2020-04-16,"Estimated","Mortality Risk Day 30",0.205649390121698,0.19801030236321,0.213215714274925
54,2020-04-17,"Estimated","Mortality Risk Day 30",0.206307085617971,0.19883703637784,0.213707484065211
55,2020-04-18,"Estimated","Mortality Risk Day 30",0.206711356338013,0.199394086523013,0.213961748758474
56,2020-04-19,"Estimated","Mortality Risk Day 30",0.206856154250689,0.19968290319776,0.213965111374531
57,2020-04-20,"Estimated","Mortality Risk Day 30",0.206736255295837,0.199707940237299,0.213702846372536
58,2020-04-21,"Estimated","Mortality Risk Day 30",0.206348093015727,0.199475183557849,0.213161995078149
59,2020-04-22,"Estimated","Mortality Risk Day 30",0.205700660545888,0.198994869087151,0.212350312989589
60,2020-04-23,"Estimated","Mortality Risk Day 30",0.204812658876259,0.198278957581027,0.211293113156188
61,2020-04-24,"Estimated","Mortality Risk Day 30",0.203703540135207,0.197338384113365,0.21001822007799
62,2020-04-25,"Estimated","Mortality Risk Day 30",0.202393103207273,0.196184763732391,0.20855349201228
63,2020-04-26,"Estimated","Mortality Risk Day 30",0.200901333269841,0.194831951961144,0.206924963397079
64,2020-04-27,"Estimated","Mortality Risk Day 30",0.19924825443694,0.193297193412348,0.205155414377973
65,2020-04-28,"Estimated","Mortality Risk Day 30",0.197453796021907,0.191601665310024,0.203263562181069
66,2020-04-29,"Estimated","Mortality Risk Day 30",0.195537672782259,0.189770281391882,0.20126401062611
67,2020-04-30,"Estimated","Mortality Risk Day 30",0.193519279371186,0.187830764566398,0.199167951247588
68,2020-05-01,"Estimated","Mortality Risk Day 30",0.191417599089059,0.185812137973452,0.19698446813546
69,2020-05-02,"Estimated","Mortality Risk Day 30",0.189251126138422,0.183742823407985,0.194722257497089
70,2020-05-03,"Estimated","Mortality Risk Day 30",0.187037189891597,0.181645125779599,0.192393726194934
71,2020-05-04,"Estimated","Mortality Risk Day 30",0.184790843604429,0.179527960663596,0.190019968006858
72,2020-05-05,"Estimated","Mortality Risk Day 30",0.182526312474093,0.17739610291579,0.187624527228816
73,2020-05-06,"Estimated","Mortality Risk Day 30",0.180257277399959,0.175253824807409,0.185230375759171
74,2020-05-07,"Estimated","Mortality Risk Day 30",0.177996862463316,0.173106551859134,0.182858251399466
75,2020-05-08,"Estimated","Mortality Risk Day 30",0.175757631048488,0.170962131606042,0.180525391329939
76,2020-05-09,"Estimated","Mortality Risk Day 30",0.173551590204734,0.168831583389041,0.178244793229648
77,2020-05-10,"Estimated","Mortality Risk Day 30",0.17139020282699,0.166729196309644,0.176025137409909
78,2020-05-11,"Estimated","Mortality Risk Day 30",0.169284407223172,0.164671950093748,0.173871395603195
79,2020-05-12,"Estimated","Mortality Risk Day 30",0.167244643636744,0.162678377025821,0.171786008477321
80,2020-05-13,"Estimated","Mortality Risk Day 30",0.16528088730581,0.160767056178008,0.169770440702857
81,2020-05-14,"Estimated","Mortality Risk Day 30",0.163402006558469,0.158953752805086,0.167826733708504
82,2020-05-15,"Estimated","Mortality Risk Day 30",0.161607865752069,0.157236689988991,0.165956369458445
83,2020-05-16,"Estimated","Mortality Risk Day 30",0.159892415893314,0.155601908658051,0.164161122448868
84,2020-05-17,"Estimated","Mortality Risk Day 30",0.158249735868511,0.154035056194895,0.162443417597849
85,2020-05-18,"Estimated","Mortality Risk Day 30",0.156674136475587,0.152523217046398,0.160804724808451
86,2020-05-19,"Estimated","Mortality Risk Day 30",0.155160143512614,0.151056190217572,0.159244257529187
87,2020-05-20,"Estimated","Mortality Risk Day 30",0.153702482327991,0.149627308562416,0.157758126960768
88,2020-05-21,"Estimated","Mortality Risk Day 30",0.152296063767489,0.148233661631223,0.156339090741374
89,2020-05-22,"Estimated","Mortality Risk Day 30",0.15093597145732,0.146875675242369,0.154976943401618
90,2020-05-23,"Estimated","Mortality Risk Day 30",0.149617450366257,0.145556146721849,0.15365945000698
91,2020-05-24,"Estimated","Mortality Risk Day 30",0.148335896593488,0.144278924558666,0.152373634531402
92,2020-05-25,"Estimated","Mortality Risk Day 30",0.147086846733444,0.1430473824634,0.151107269960548
93,2020-05-26,"Estimated","Mortality Risk Day 30",0.145865373270382,0.141859695376034,0.149852353225352
94,2020-05-27,"Estimated","Mortality Risk Day 30",0.144665210413085,0.140703734247144,0.14860842361893
95,2020-05-28,"Estimated","Mortality Risk Day 30",0.143480049471171,0.139565248723588,0.147377038682352
96,2020-05-29,"Estimated","Mortality Risk Day 30",0.142303765820976,0.138430693943481,0.146159426811543
97,2020-05-30,"Estimated","Mortality Risk Day 30",0.141130415093438,0.137288526840222,0.144955194375917
98,2020-05-31,"Estimated","Mortality Risk Day 30",0.139954231646134,0.136130132510981,0.143761402613346
99,2020-06-01,"Estimated","Mortality Risk Day 30",0.138769629225954,0.134950262026825,0.14257213315681
100,2020-06-02,"Estimated","Mortality Risk Day 30",0.13757120372745,0.133746901618038,0.141378622449488
101,2020-06-03,"Estimated","Mortality Risk Day 30",0.136353737948621,0.13252060849264,0.140169929963124
102,2020-06-04,"Estimated","Mortality Risk Day 30",0.135112208241016,0.131273454145726,0.138933999538202
103,2020-06-05,"Estimated","Mortality Risk Day 30",0.133841792944393,0.130007736798841,0.137658952403446
104,2020-06-06,"Estimated","Mortality Risk Day 30",0.13253831060933,0.128724512164145,0.136335415071058
105,2020-06-07,"Estimated","Mortality Risk Day 30",0.131202486928558,0.127422042357801,0.134966552720747
106,2020-06-08,"Estimated","Mortality Risk Day 30",0.129837982723776,0.126096694785475,0.133563253746528
107,2020-06-09,"Estimated","Mortality Risk Day 30",0.12844842418721,0.124744824239445,0.132136352530906
108,2020-06-10,"Estimated","Mortality Risk Day 30",0.127037351283727,0.123364073236013,0.130695237569359
109,2020-06-11,"Estimated","Mortality Risk Day 30",0.125608211942983,0.121954307936493,0.129246910573934
110,2020-06-12,"Estimated","Mortality Risk Day 30",0.124164357007963,0.120518115697995,0.127795481377006
111,2020-06-13,"Estimated","Mortality Risk Day 30",0.122709035923337,0.11906079784122,0.126342165538184
112,2020-06-14,"Estimated","Mortality Risk Day 30",0.121245393144315,0.117589879184295,0.12488576359907
113,2020-06-15,"Estimated","Mortality Risk Day 30",0.119776465244168,0.116114253017804,0.123423503791765
114,2020-06-16,"Estimated","Mortality Risk Day 30",0.118305178696349,0.114643117545128,0.121952092631638
115,2020-06-17,"Estimated","Mortality Risk Day 30",0.116834347002364,0.113184804257959,0.120468870651126
116,2020-06-18,"Estimated","Mortality Risk Day 30",0.115366398139802,0.111743207534895,0.118974809786337
117,2020-06-19,"Estimated","Mortality Risk Day 30",0.113903058294791,0.110314834200707,0.117476810581719
118,2020-06-20,"Estimated","Mortality Risk Day 30",0.112445902093244,0.108894956427127,0.115982697670979
119,2020-06-21,"Estimated","Mortality Risk Day 30",0.110996437161553,0.107479559778038,0.114499456681458
120,2020-06-22,"Estimated","Mortality Risk Day 30",0.109556104528029,0.106066215253246,0.113032369385256
121,2020-06-23,"Estimated","Mortality Risk Day 30",0.108126279215023,0.104654612482886,0.111584484695149
122,2020-06-24,"Estimated","Mortality Risk Day 30",0.106708271010613,0.103246713327755,0.11015646673342
123,2020-06-25,"Estimated","Mortality Risk Day 30",0.105303325408594,0.101846522040735,0.10874682426913
124,2020-06-26,"Estimated","Mortality Risk Day 30",0.103912624705599,0.100459532701446,0.107352461225622
125,2020-06-27,"Estimated","Mortality Risk Day 30",0.102537289244173,0.0990919586770954,0.105969443879665
126,2020-06-28,"Estimated","Mortality Risk Day 30",0.101178378790777,0.097749842093118,0.104593887101814
127,2020-06-29,"Estimated","Mortality Risk Day 30",0.0998370645707709,0.0964378441371845,0.103223497063338
128,2020-06-30,"Estimated","Mortality Risk Day 30",0.0985160740024473,0.0951564480341993,0.101863225895346
129,2020-07-01,"Estimated","Mortality Risk Day 30",0.0972188848390758,0.0939037032663279,0.100521936984852
130,2020-07-02,"Estimated","Mortality Risk Day 30",0.095948800628084,0.0926776547241277,0.0992081531538868
131,2020-07-03,"Estimated","Mortality Risk Day 30",0.0947089489768872,0.0914771953748335,0.0979292067405413
132,2020-07-04,"Estimated","Mortality Risk Day 30",0.0935022910476966,0.0903026507723961,0.0966906773626551
133,2020-07-05,"Estimated","Mortality Risk Day 30",0.092331632030379,0.0891560868463894,0.0954961060669745
134,2020-07-06,"Estimated","Mortality Risk Day 30",0.0911996325068658,0.0880413169559998,0.0943470101092213
135,2020-07-07,"Estimated","Mortality Risk Day 30",0.0901088206293091,0.0869636207109347,0.0932431860587729
136,2020-07-08,"Estimated","Mortality Risk Day 30",0.0890616050437393,0.0859292310560621,0.0921832448879212
137,2020-07-09,"Estimated","Mortality Risk Day 30",0.0880602885013099,0.0849446652436939,0.0911653035389476
138,2020-07-10,"Estimated","Mortality Risk Day 30",0.0871070711340062,0.0840159306671369,0.0901877800336619
139,2020-07-11,"Estimated","Mortality Risk Day 30",0.0862026212895997,0.0831445737519003,0.0892504691224436
140,2020-07-12,"Estimated","Mortality Risk Day 30",0.085344723202659,0.0823245489904164,0.088354957678296
141,2020-07-13,"Estimated","Mortality Risk Day 30",0.0845309279887944,0.0815487913295717,0.087503381891905
142,2020-07-14,"Estimated","Mortality Risk Day 30",0.0837588971849196,0.0808107961130816,0.0866975428585729
143,2020-07-15,"Estimated","Mortality Risk Day 30",0.0830263946960781,0.0801052443458192,0.0859382688554289
144,2020-07-16,"Estimated","Mortality Risk Day 30",0.0823312792850482,0.0794284250913314,0.0852249798586668
145,2020-07-17,"Estimated","Mortality Risk Day 30",0.0816714975695638,0.0787784157616553,0.0845554936998347
146,2020-07-18,"Estimated","Mortality Risk Day 30",0.0810450774947529,0.0781549953509239,0.0839260989236504
147,2020-07-19,"Estimated","Mortality Risk Day 30",0.0804501222509987,0.0775593061984032,0.0833318788404698
148,2020-07-20,"Estimated","Mortality Risk Day 30",0.0798848046098475,0.0769933170982544,0.0827672340071445
149,2020-07-21,"Estimated","Mortality Risk Day 30",0.0793473616528523,0.0764591484636088,0.0822265424582953
150,2020-07-22,"Estimated","Mortality Risk Day 30",0.0788358776387953,0.0759577300935567,0.0817050605148171
151,2020-07-23,"Estimated","Mortality Risk Day 30",0.078346720451964,0.0754840430391659,0.0812005338512121
152,2020-07-24,"Estimated","Mortality Risk Day 30",0.0778754690254301,0.0750300051759123,0.0807121794401725
153,2020-07-25,"Estimated","Mortality Risk Day 30",0.0774178030086925,0.074587686040093,0.080239264849264
154,2020-07-26,"Estimated","Mortality Risk Day 30",0.0769695015674094,0.0741499870499778,0.0797804297457982
155,2020-07-27,"Estimated","Mortality Risk Day 30",0.076526437676776,0.0737111204491586,0.0793331981665689
156,2020-07-28,"Estimated","Mortality Risk Day 30",0.0760845745537914,0.0732668743674914,0.0788937076196116
157,2020-07-29,"Estimated","Mortality Risk Day 30",0.0756399641542296,0.0728146370413613,0.0784566819063233
158,2020-07-30,"Estimated","Mortality Risk Day 30",0.0751887476629961,0.0723531842781886,0.0780156435036768
159,2020-07-31,"Estimated","Mortality Risk Day 30",0.0747271579068428,0.0718822698621325,0.0775633257345761
160,2020-08-01,"Estimated","Mortality Risk Day 30",0.0742515236162422,0.0714020748428734,0.0770922287147737
161,2020-08-02,"Estimated","Mortality Risk Day 30",0.0737582956934408,0.0709125604451826,0.0765953146371207
162,2020-08-03,"Estimated","Mortality Risk Day 30",0.0732458739405081,0.0704129849376234,0.076070129797735
163,2020-08-04,"Estimated","Mortality Risk Day 30",0.0727159939708801,0.0699019660506812,0.0755215080002346
164,2020-08-05,"Estimated","Mortality Risk Day 30",0.0721707045333639,0.0693778508400575,0.0749551767028056
165,2020-08-06,"Estimated","Mortality Risk Day 30",0.0716120171491741,0.0688393557258914,0.0743764225841744
166,2020-08-07,"Estimated","Mortality Risk Day 30",0.071041902507603,0.0682860732722788,0.0737895805341104
167,2020-08-08,"Estimated","Mortality Risk Day 30",0.0704622873545276,0.0677187967362604,0.0731977045066066
168,2020-08-09,"Estimated","Mortality Risk Day 30",0.0698750518622687,0.0671396399430647,0.072602442775663
169,2020-08-10,"Estimated","Mortality Risk Day 30",0.0692820274674937,0.0665519450447986,0.0720041251394625
170,2020-08-11,"Estimated","Mortality Risk Day 30",0.0686849951623114,0.0659599989947703,0.0714020413447286
171,2020-08-12,"Estimated","Mortality Risk Day 30",0.0680856842224256,0.0653686017169579,0.070794867852085
172,2020-08-13,"Estimated","Mortality Risk Day 30",0.0674857713551977,0.0647825301469283,0.0701811988588844
173,2020-08-14,"Estimated","Mortality Risk Day 30",0.0668870355141011,0.0642057077743311,0.0695606804559445
174,2020-08-15,"Estimated","Mortality Risk Day 30",0.0662923348888909,0.0636393808750675,0.0689377723916011
175,2020-08-16,"Estimated","Mortality Risk Day 30",0.0657049361485887,0.0630833760021968,0.0683191609810102
176,2020-08-17,"Estimated","Mortality Risk Day 30",0.0651279961370794,0.0625374744902392,0.0677113593085459
177,2020-08-18,"Estimated","Mortality Risk Day 30",0.0645645634618265,0.0620019401456698,0.0671201856566146
178,2020-08-19,"Estimated","Mortality Risk Day 30",0.0640175839600746,0.0614778985672022,0.066550396843621
179,2020-08-20,"Estimated","Mortality Risk Day 30",0.0634899075166664,0.0609675550701713,0.0660054846255268
180,2020-08-21,"Estimated","Mortality Risk Day 30",0.062984296161588,0.0604742333292503,0.0654876530411506
181,2020-08-22,"Estimated","Mortality Risk Day 30",0.0625034333840178,0.0600022345234719,0.064997976914126
182,2020-08-23,"Estimated","Mortality Risk Day 30",0.0620499346098222,0.0595565402758532,0.0645367182164366
183,2020-08-24,"Estimated","Mortality Risk Day 30",0.0616263588010414,0.0591423955600113,0.0641037641173082
184,2020-08-25,"Estimated","Mortality Risk Day 30",0.0612351993125226,0.058764758292752,0.0636991562159304
185,2020-08-26,"Estimated","Mortality Risk Day 30",0.0608774828056653,0.0584250497353044,0.0633235282507364
186,2020-08-27,"Estimated","Mortality Risk Day 30",0.0605519538623223,0.0581194889598425,0.062978136773156
187,2020-08-28,"Estimated","Mortality Risk Day 30",0.0602572152779487,0.0578437182173085,0.0626645297464071
188,2020-08-29,"Estimated","Mortality Risk Day 30",0.0599919332132272,0.0575937448838668,0.0623840187528067
189,2020-08-30,"Estimated","Mortality Risk Day 30",0.0597548318730662,0.0573663602216729,0.0621372515477543
190,2020-08-31,"Estimated","Mortality Risk Day 30",0.0595446885157934,0.0571594236334572,0.0619239189860546
191,2020-09-01,"Estimated","Mortality Risk Day 30",0.0593603287681034,0.0569719874082855,0.0617426213421218
192,2020-09-02,"Estimated","Mortality Risk Day 30",0.0592006222235104,0.0568042472703697,0.0615909087131488
193,2020-09-03,"Estimated","Mortality Risk Day 30",0.0590644783040969,0.056657327538815,0.0614654866833976
194,2020-09-04,"Estimated","Mortality Risk Day 30",0.0589508423672258,0.0565329299931765,0.0613625581283413
195,2020-09-05,"Estimated","Mortality Risk Day 30",0.0588586920406421,0.0564328787653874,0.0612782688013829
196,2020-09-06,"Estimated","Mortality Risk Day 30",0.058786838579223,0.0563580393173317,0.0612093864596577
197,2020-09-07,"Estimated","Mortality Risk Day 30",0.0587328498392196,0.0563049410777716,0.0611545121538962
198,2020-09-08,"Estimated","Mortality Risk Day 30",0.0586938114675677,0.0562681980184074,0.0611131905177257
199,2020-09-09,"Estimated","Mortality Risk Day 30",0.0586668277585429,0.0562424697284633,0.0610849580111803
200,2020-09-10,"Estimated","Mortality Risk Day 30",0.0586490165855489,0.0562229155670683,0.0610688809976857
201,2020-09-11,"Estimated","Mortality Risk Day 30",0.0586375043652907,0.0562055269034946,0.0610632150873005
202,2020-09-12,"Estimated","Mortality Risk Day 30",0.0586294223918096,0.056187321650551,0.0610652042350842
203,2020-09-13,"Estimated","Mortality Risk Day 30",0.0586219045327266,0.0561663825515542,0.0610710381122904
204,2020-09-14,"Estimated","Mortality Risk Day 30",0.0586120862837339,0.0561417366581377,0.0610759702910167
205,2020-09-15,"Estimated","Mortality Risk Day 30",0.0585971051793747,0.0561130926139806,0.0610745806073462
206,2020-09-16,"Estimated","Mortality Risk Day 30",0.0585741025584872,0.0560804617927816,0.0610611556395261
207,2020-09-17,"Estimated","Mortality Risk Day 30",0.0585402433893311,0.0560436692601202,0.0610302145834488
208,2020-09-18,"Estimated","Mortality Risk Day 30",0.0584935373001728,0.0560012067252279,0.0609792876636397
209,2020-09-19,"Estimated","Mortality Risk Day 30",0.0584332094917216,0.055949885288231,0.0609100013099039
210,2020-09-20,"Estimated","Mortality Risk Day 30",0.0583585908454761,0.0558861992457041,0.0608245078865479
211,2020-09-21,"Estimated","Mortality Risk Day 30",0.0582690255939615,0.0558069096470232,0.0607247212281502
212,2020-09-22,"Estimated","Mortality Risk Day 30",0.0581638729817846,0.055709451346471,0.0606119150281333
213,2020-09-23,"Estimated","Mortality Risk Day 30",0.0580425089838423,0.055592219184128,0.0604864414448893
214,2020-09-24,"Estimated","Mortality Risk Day 30",0.0579043280754971,0.0554547072434274,0.0603475959647625
215,2020-09-25,"Estimated","Mortality Risk Day 30",0.0577487450490357,0.0552974839559579,0.060193645747339
216,2020-09-26,"Estimated","Mortality Risk Day 30",0.0575751968702293,0.0551220064717466,0.0600220180409679
217,2020-09-27,"Estimated","Mortality Risk Day 30",0.0573831445683002,0.0549302970574963,0.059829625923367
218,2020-09-28,"Estimated","Mortality Risk Day 30",0.0571720751520992,0.0547245101532072,0.0596133027662942
219,2020-09-29,"Estimated","Mortality Risk Day 30",0.0569416558033476,0.0545061639345037,0.0593708741033782
220,2020-09-30,"Estimated","Mortality Risk Day 30",0.056692452804421,0.0542745822392356,0.059104141767674
221,2020-10-01,"Estimated","Mortality Risk Day 30",0.0564253546989578,0.0540280939188926,0.0588165403945404
222,2020-10-02,"Estimated","Mortality Risk Day 30",0.0561412555738844,0.0537650713413453,0.0585114727348897
223,2020-10-03,"Estimated","Mortality Risk Day 30",0.0558410523695345,0.0534843649164488,0.0581918720106733
224,2020-10-04,"Estimated","Mortality Risk Day 30",0.0555256426794064,0.0531856193029007,0.0578598827582413
225,2020-10-05,"Estimated","Mortality Risk Day 30",0.0551959226556106,0.0528694537594017,0.0575166769673343
226,2020-10-06,"Estimated","Mortality Risk Day 30",0.054852785022993,0.0525374902850568,0.0571624219225781
227,2020-10-07,"Estimated","Mortality Risk Day 30",0.0544971172042705,0.0521922286310053,0.0567964007260733
228,2020-10-08,"Estimated","Mortality Risk Day 30",0.0541297995579021,0.0518367861429438,0.0564172676084712
229,2020-10-09,"Estimated","Mortality Risk Day 30",0.053751703729829,0.051474530521835,0.0560234100125941
230,2020-10-10,"Estimated","Mortality Risk Day 30",0.0533637403459823,0.0511086382518288,0.0556134830432017
231,2020-10-11,"Estimated","Mortality Risk Day 30",0.0529687068175936,0.0507420064075386,0.0551901839956616
232,2020-10-12,"Estimated","Mortality Risk Day 30",0.0525717800124254,0.0503772730011509,0.0547612156823285
233,2020-10-13,"Estimated","Mortality Risk Day 30",0.0521781538913836,0.0500167552895384,0.0543346348865845
234,2020-10-14,"Estimated","Mortality Risk Day 30",0.0517928726765562,0.0496628732329218,0.0539180981326213
235,2020-10-15,"Estimated","Mortality Risk Day 30",0.0514208361847985,0.0493185121703444,0.0535185111487364
236,2020-10-16,"Estimated","Mortality Risk Day 30",0.0510668097877304,0.0489872786373743,0.0531417937330826
237,2020-10-17,"Estimated","Mortality Risk Day 30",0.0507354387890132,0.0486736300137438,0.0527927790080018
238,2020-10-18,"Estimated","Mortality Risk Day 30",0.0504312670390581,0.0483828645500284,0.0524752602414107
239,2020-10-19,"Estimated","Mortality Risk Day 30",0.0501587596471839,0.0481209755283128,0.0521921812745949
240,2020-10-20,"Estimated","Mortality Risk Day 30",0.0499223297012742,0.0478943901036348,0.051945949884167
241,2020-10-21,"Estimated","Mortality Risk Day 30",0.0497263689649395,0.0477096175484286,0.0517388493246899
242,2020-10-22,"Estimated","Mortality Risk Day 30",0.0495744208284497,0.0475716024527488,0.051573027568445
243,2020-10-23,"Estimated","Mortality Risk Day 30",0.0494657111652135,0.047478448110254,0.051448828157082
244,2020-10-24,"Estimated","Mortality Risk Day 30",0.0493981928676644,0.047425945132317,0.0513663571817706
245,2020-10-25,"Estimated","Mortality Risk Day 30",0.0493699308323626,0.0474099973283162,0.0513258318152514
246,2020-10-26,"Estimated","Mortality Risk Day 30",0.0493790878634447,0.0474269984472803,0.051327176900549
247,2020-10-27,"Estimated","Mortality Risk Day 30",0.0494239110358159,0.0474741195727985,0.0513697113350997
248,2020-10-28,"Estimated","Mortality Risk Day 30",0.0495027189824914,0.0475494868443825,0.0514519455415883
249,2020-10-29,"Estimated","Mortality Risk Day 30",0.0496138900156452,0.0476522265781126,0.051571512782795
250,2020-10-30,"Estimated","Mortality Risk Day 30",0.0497558510031697,0.0477823687491398,0.0517252431919886
251,2020-10-31,"Estimated","Mortality Risk Day 30",0.049927066933749,0.047940618868949,0.0519093703243908
252,2020-11-01,"Estimated","Mortality Risk Day 30",0.0501260311137058,0.0481280187311304,0.052119849598825
253,2020-11-02,"Estimated","Mortality Risk Day 30",0.0503512456116489,0.0483454546220435,0.0523528090193933
254,2020-11-03,"Estimated","Mortality Risk Day 30",0.0506009001843722,0.0485915153233932,0.0526060412031063
255,2020-11-04,"Estimated","Mortality Risk Day 30",0.0508728006229269,0.048862099460542,0.0528792511722702
256,2020-11-05,"Estimated","Mortality Risk Day 30",0.0511647088248841,0.0491527111791178,0.0531724490735119
257,2020-11-06,"Estimated","Mortality Risk Day 30",0.0514743542787145,0.0494590119185435,0.0534854236986549
258,2020-11-07,"Estimated","Mortality Risk Day 30",0.0517994253432675,0.0497771828536404,0.0538173641426306
259,2020-11-08,"Estimated","Mortality Risk Day 30",0.0521375615546505,0.0501041914967354,0.0541665789311923
260,2020-11-09,"Estimated","Mortality Risk Day 30",0.0524863469855282,0.0504379322858871,0.0545303428031138
261,2020-11-10,"Estimated","Mortality Risk Day 30",0.0528433046906919,0.0507772182066529,0.0549048941130911
262,2020-11-11,"Estimated","Mortality Risk Day 30",0.0532058922802564,0.0511216195043488,0.0552855868161138
263,2020-11-12,"Estimated","Mortality Risk Day 30",0.0535714986679693,0.0514711626948324,0.0556671838481871
264,2020-11-13,"Estimated","Mortality Risk Day 30",0.0539374420468007,0.051825905552906,0.0560442762540677
265,2020-11-14,"Estimated","Mortality Risk Day 30",0.0543018541372258,0.0521857726856317,0.0564132112445541
